Column2,Column3,chatgpt,Spanish Sentiment Analisis,BERT,textBlob
La amabilidad del personal y lo agradable del lugar,positivo,,0.9998390871446479,,
Servicios de alto precio ,negativo,,0.6113043754874943,,
"Bueno desde que soy paciente de Clinica Alemana hace varios años,siempre destaco al grupo humano y al profesionalismo que ellos tienen, ademas de la buena disposicion para nuestra atencion. Tambien hay que destacar al gran Equipo Medico que nos brinda una excelente Atencion.",positivo,,0.7388739754837518,,
El médico procedió correctamente.Las Enfermeras y teens muy gentiles .,positivo,,0.7122241031859456,,
Buen nivel de profesionales en la atencion,positivo,,0.9595864921802675,,
el tiempo de espera fue el mínimo,positivo,,0.00038170913895600516,,
Excelente a tencion. ,positivo,,0.9633894245446962,,
La atencion y amabilidad,positivo,,0.9670416033896907,,
El tiempo que se tomó el médico que me atendió para explicarme todo con detalle.,positivo,,0.000526782688383234,,
"Responsabilidad para sus pacientes,  el buen servicio que nos brinda, y el buen trato que nos da como persona.",positivo,,0.18782232493722176,,
atención personalizada,positivo,,0.6301234559680013,,
Todo oportuno,positivo,,0.5957399490333923,,
La atención muy rápida y cordial,positivo,,0.9517454619116601,,
La amabilidad del personal y la buena disposición ,positivo,,0.999943568565301,,
Lo expedito y buena orientación,positivo,,0.5571428743208134,,
Todo muy ordenado desde el ingreso,positivo,,0.987106821106963,,
"Puntualidad, eficiencia, amabilidad",positivo,,0.8637372456901127,,
Excelentes profesionales y buena acción de resolutividad,positivo,,0.9746131007564371,,
El ambiente de espera es bastante acogedor. A su vez la especialista fue muy clara y precisa ,positivo,,0.36956092806070895,,
"Al llamar a la secretaria de pediatría plaza bhulere dice que NO hay horas, sin revisar nisiquiera en su sistema, existían alrededor de 4 horas disponible. Al llegar al mesón de atención, la señorita muy amable busco hora.",neutro,,2.6444924879647063e-08,,
"Buena atención, y se respeta la cita y la hora agendado ",positivo,,0.5641869960249486,,
Primera vez que fuimos y nos gustó la atención de la recepcionista y pediatra.,positivo,,0.12754409036211156,,
Buena atención ,positivo,,0.964562425383814,,
"Esperé más de una hora en ser atendida y no me dieron explicaciones , esto debe ser mejorado, al menos indicar el retraso y pedir una disculpa al paciente que está pagando por un servicio y agendó una hora para ser atendido.",negativo,,1.1538739799503478e-16,,
Super buena  ,positivo,,0.8766829416785494,,
"Cuando se pregunte porque no están los resultados listos el día y la hora acordada, mencionar la verdad no puede existir dos o más versiones. ",negativo,,8.499929808912399e-08,,
Podrían poner un cartel donde se indiquen la ubicación de las distintas especialidades. Me he atendido con distintos médicos y he debido pasar por los dos edificios preguntando dónde es con cada cuál. ,neutro,,0.012375722069554763,,
No sé ,neutro,,0.013919303780393646,,
Son muy atentos y muy rápido la espera ,positivo,,0.9973606607102089,,
Es fácil de pedir hora,positivo,,0.9804646507746283,,
"Atención a todos por igual, no ser más amable solo con los conocidos o aquellos que son del agrado de las que atienden ",negativo,,0.0006214156817963177,,
"Buen día, la atención acertiva en diagnóstico, profesional y empática del médico. ",positivo,,0.9563926016559313,,
"Un servicio muy completo, personal atento y grata estadía. ",positivo,,0.9999996830942526,,
"La atención, disponibilidad del equipo en todo momento, alimentación al acompañante,pensaba como salir a tomar un café,no dejar a mi hijo solo,estába muy sensible después de la operación,y me convidaron almuerzo,fue un gran alivio, muchas gracias ",positivo,,0.5317638692141705,,
Atención y infraestructura ,positivo,,0.6301234559680013,,
Buen profecional,positivo,,0.782429480926014,,
Excelente atención y cumplimiento de horarios ,positivo,,0.999405042535252,,
Que  las horas por fonasa fueran tan expeditas como particular. Gracias,neutro,,0.008417371758026773,,
"Buena atención, profesionalismo",positivo,,0.964562425383814,,
"Lo expedito y rápido, teníamos hora agendada. ",positivo,,0.19043873051744106,,
puntualidad en la hora del examen y el precio,positivo,,0.09418918429471528,,
Es muy rápido el proceso antes de la consulta ,positivo,,0.7301795165621262,,
 En la recepción de  examenes es muy demaciado lento hay muy poco personal  para agilizar el sistema de atención...,negativo,,0.11720961667412735,,
Estuve esperando 1 hora para una atención debido a que la señorita se lo olvidó avisar que yo me encontraba en sala,negativo,,2.364710990382945e-05,,
Atencion rapida y eficiente.,positivo,,0.9648181760436734,,
La aplicacion de terapias alternativas como la acupuntura,neutro,,0.2803241978528321,,
Buena disposición en las chicas que atienden,positivo,,0.41895598970772496,,
Buenos días.... que las horas de las personas de otra ciudad las den más temprano.... por la locomoción ,neutro,,5.179297115119168e-05,,
La amabilidad en la atencion,positivo,,0.994107681899923,,
"Mientras realicé mi examen estuvo todo muy bien,  todos muy amables y expedito, pero cuando pase por los resultado en las cajas,  la atención no fue la mejor, la Sra. que me atendió  no respondió a mi saludo y fue muy pesada, lejana y soberbia en el trato, me fuí de ahí con una sensación entre malestar y pena. Las personas que visitan la clínica, en su gran mayoría cargan con el peso de una enfermedad  ya sea propia o familiar y no me gustaría que otra persona pasara nuevamente un mal rato. Más empatía por favor.",negativo,,2.047568059381355e-12,,
"Excelente tecnología, higiene y atención ",positivo,,0.9783592338856841,,
Pago rápido y atención medica muy profesional,positivo,,0.9730461303522704,,
Buena atención ,positivo,,0.964562425383814,,
"Orden, limpieza, y calidad profesional",positivo,,0.23044862254257434,,
"Hay pocas horas disponibles con la pediatra de mi hijo, asimismo cuando busco un especialista por ejemplo otorrinolaringoló o un broncopulmonar infantil no se visualizan en el sistema. No estoy de acuerdo que cobren los estacionamiento, este debería ser un beneficio por preferir la atencion en la clínica.  No entiendo cómo puede suceder que en la única clínica qué hay en Osorno no exista urgencia pediátrica, doy gracias por ir el Hospital de Osorno atienden excelente ya que he tenido que solicitar atención varías veces por mi hijo. Aún cuando estoy descontenta por algunos temas  así sigo concurriendo a sus inmediaciones debido que mi hijo está en Isapre",negativo,,4.915608916618135e-22,,
Excelente la atención y el servicio entregado por todos y cada uno de los profesionales y funcionarios.,positivo,,0.9947479288048111,,
"muy buena atención,  puntual, y  la enfermera y tens  muy preocupadas",positivo,,0.9990164056214597,,
Imposición de horas y interacción con los medios de comunicación como correo electrónico etc.,neutro,,0.000781814476777935,,
contar con atención mediante pago vía Fonasa,neutro,,0.88747599691932,,
"La cercanía del médico que me atendió. La puntualidad en la atención también siempre se agradece, ya que el tiempo de todos es valioso. ",positivo,,0.001222447238956826,,
la amabilidad de su personal,positivo,,0.9913926472695015,,
La rapidez y amabilidad del personal,positivo,,0.9978514791773743,,
"Leeenta la atención. Claramente y de forma fácil se puede mejorar teniendo a gente de respaldo para atender contingencias en urgencia. No es necesario tenerlas in situ, sino que de turno, para que puedan asistir al personal base en caso de aglomeramiento de Urgencias.",negativo,,1.2707281527541103e-06,,
Teniendo profesionales que trabajen por amor y vocación a lo que hacen en su área tuve mala experiencia con el ginecólogo Miguel loaiza de la clínica alemana plaza bhuler dio una pésima atención poco tacto tan solo por ir por una Eco simple y no una eco de mayor valor falto que evaluara muchas cosas en mi bebé no nacido obvio q no me atenderé con el más y cambiare de ginecólogo.,negativo,,7.880472027970072e-16,,
Lo más agradable la atención en general,positivo,,0.9569248764434346,,
El Tiempo de espera para la atencion medica .... tarifas altas minimo atender a la hora que se cita a los pacientes... esperar  1 hora despues de lo citado creo que es un burla a los pacientes ... por lo tanto no pueden esperar que un medico en 20 min atienda alguien y cobrar 60 mil pesos  y mas encima tener que esperar 1 hora para dicha atencion .,negativo,,8.645943450550969e-21,,
El profesional un 10 ,positivo,,0.7114660391608268,,
La atención y cordialidad de los profesionales que trabajan allá.,positivo,,0.5046106990952619,,
"Los buenos profesionales, la buena calidad de los servicios y examenes",positivo,,0.80186699178244,,
Siempre es rapida la atencion,positivo,,0.8979450027138173,,
"Buen trato del paciente, desde el guardia hasta enfermera tens médico, servicio de cardiología ambulatorio. ",positivo,,0.9983821853653123,,
La atención en gral. muy buena,positivo,,0.9896767896177806,,
"Cobro excesivo por estacionamiento verifiquen exámenes realizados, y descuenten, ademas mala ubicacion de garita pago, cerca de salida. personal de informaciones y entrega de exámenes cardiologia saluden y despidan al cliente",negativo,,0.06055879137230749,,
"Pagando 500 mil pesos para  2 médicos no se den cuenta que tenia infección oriana, sufriendo 8 días con inmenso dolores,es una vergenza el día sábado me atendió claudia hevia haciéndome exámenes no se dio cuenta de mi orina que salio alterada enviándome hacer un scanner pielotac carisimo lo cual pasó particular todo el tiempo porque no tengo fonasa ,isapre saliendo así el exámen 220 mil pesos más lo cual no era necesario ya que el examen de orina salía pero como no se dio cuenta,mientras yo seguía con dolores tomando Viadil,Ketarolaco y paracetamol recetado por ella lo cual me hicieron mal porq no eran para lo que tenia me infle muchísimo y los dolores nunca desapareció, el día miércoles tube control con doctor sosa volviendo a pagar 25000 más lo cuál tampoco se dio cuenta del exámen de orina y me envió hacer otro examen que era tac adominal y otro más, lo cual yá no lo hice porque era carisimo ,me fui al hospital base en tanto pagando nada me vio el doctor gustavo somerr quien se percató inmediatamente del examen que en la clínica pagando tanto no se dieron cuenta son unos sinvergenza jugando con la salud de uno quien me responde ahora nadie",negativo,,8.019393107769686e-50,,
"La rapidez y amabilidad con la que me atendieron, ",positivo,,0.20564898186615146,,
Que los usuarios reciban en su hospitalizacion un reglamento a seguir para asegurar la tranquilidad del descanso de todos ,negativo,,0.19191251092559264,,
Fue expedito y rápido,positivo,,0.5792037792948129,,
"No pude obtener mi examen por la pagina, tengo cuenta antigua y n ude ingresar.",negativo,,0.012344849891426526,,
"Excelente atención de personal de salud. Excepto de persona encargada en mesón de informaciones en ingreso a urgencia, mala actitud y poca disposición.",neutro,,0.8347834875129528,,
"Respetando las horas, si se me asigna una hora, uno como paciente se preocupa de llegar antes, uno espera lo mismo del médico. En este caso me tocó esperarlo 45 minutos, enfermeras a cargo dando las disculpas por doctor.",negativo,,2.5716028505291536e-13,,
"Todos fueron muy amables, me atendieron inmediatamente. Dr Tito Rojas fue bastante acertivo con respecto al diagnóstico y me dieron hora inmediatamente con especialista. ",positivo,,0.2919297612519867,,
La atención de la doctora,positivo,,0.9166904988341154,,
expedito y oportuno,positivo,,0.49789225920557484,,
Descuento en estacionamiento por atención en clínica alemana,neutro,,0.27216145812048864,,
Respecto a hospitalización todo el personal desde urgencia a UTi fueron muy amables.  Pude apreciar el excelente trato y empatía con enfermos de larga permanencia.,positivo,,0.9999973660370373,,
"Muy buena la atención , desde la entrada hasta el Dr.  Expedito todo, Ágil y buen ambiente, gracias, por vuestra atención",positivo,,0.9994212339725063,,
"Afortunadamente atención inmediata, amabilidad y buena disposición ",positivo,,0.9584393276049856,,
La forma personalizada de atender a los pacientes dedicacion y preocupacion ,positivo,,0.0509787059553471,,
fui hospitalizado en habitacion individual y se olvidaron de mi cena. Me toco una enfermera con pesima disposición y ponia caras cuando le édia algo. ,negativo,,4.605409028319261e-06,,
Muy buena atencion en general desde administrativo hasta el profesional al que se consulta,positivo,,0.9455403930710903,,
Cambiar a la persona que tienen de anfitriona Ya que manda a todos a comprar mascarillas ella debería tener una cajita,negativo,,9.47735280725101e-07,,
Muy buena atención,positivo,,0.9976976390451885,,
Se respetan los horarios de las consultas,positivo,,0.1832234298342234,,
atención rápida...no siempre pero creo está mrjorando,neutro,,0.344357758825179,,
Me gusto mucho como me atendio el dr alvear ,positivo,,0.1522720928689811,,
Excelentes profesionales ,positivo,,0.9518225968007454,,
La atención y profesionalismo de cada persona que me atendio,positivo,,0.02156153916347677,,
La amabilidad del personal. Se me respondio en forma clara lo q consulte,positivo,,0.9866412948759786,,
"Felicitaciones al doctor sosa, un médico con vocación, gran profesional, amable,  empatico con todos sus pacientes, muy preocupado. ",positivo,,0.9973642173563676,,
"Que es personalizado y con especialistas altamente calificados ,han sido d mucha ayuda en mi recuperación ",positivo,,0.04081646455533515,,
El horario de atención es muy larga la espera de la hora solicitada,negativo,,0.05506278982806488,,
La buena atención del personal y todo en general por su preocupación ,positivo,,0.9998623942036277,,
"Agilidad en el pago, puntualidad en la atención del médico.",positivo,,0.9407699750488963,,
La atención oportuna,positivo,,0.747917949584154,,
La atención y limpieza del establecimiento,positivo,,0.6809026232538341,,
"Dificultad en realizar pago en laboratorio, ya que a muchas personas les cuesta pagar porque no reconoce la huella digital y al preguntar por otra alternativa de pago las ejecutivas no saben que hacer.",negativo,,2.237479301429239e-11,,
Me encanto la cercanía de los funcionarios el trato fue excelente me sentí muy a gusto ,positivo,,0.9991264951836144,,
"No me gustó, que dejaron las consultas médicas junto al lado de los hospitalizados, dentro del mismo recinto.",negativo,,0.015924414960923356,,
"Buena atención, trato bien, rápido, efectivo ",positivo,,0.9925579420220451,,
"Muy buena atención, expedita",positivo,,0.9976976390451885,,
La preocupación por el paciente por parte de su personal.,positivo,,0.3747275746840417,,
La RM no informó sobre dudas de dra que me dio la orden,negativo,,0.01072396066855824,,
Sin sugerencias ,neutro,,0.860311920553748,,
"La amabilidad de las personas , desde el guardia al ingreso hasta el médico tratante. ",positivo,,0.9608323748728548,,
Excelente atención ,positivo,,0.999486216432384,,
"Excelente atención, puntual en la hora prácticamente no espere nada para que me atienda el médico. Muy buena experiencia para ser la primera vez que iba.",positivo,,0.0026594030148816205,,
La amabilidad ,positivo,,0.9740716490417144,,
Exelente atención y disposición ,positivo,,0.6301234559680013,,
La Redaccion del informe de Scanner fue poco detallista en lo que se refiere a la zona dela pelvis. No supo definir con certeza si el hallazgo era pólipo o mioma. No ayudo mucho .  Y el procedimiento lo encontré muy acelerado. ,negativo,,0.00017667756175515108,,
Muy buena atencion,positivo,,0.9877633400857616,,
Atención del médico ,positivo,,0.9025856916723777,,
"Como es posible que para revisar mis examenes tenga que ir presencialmente a la clinica a solicitar mi clave de acceso, se supone que tienen plataformas para mejorar y hacer mas facil la experiencia del cliente.. lo encuentro realmente impresentable.. de lo contrario tiene que ir una persona con un poder simple y la fotocopia de carnet... es lo mismo que ir presencial.. pesimo el post servicio muy malo",negativo,,1.0994497701030573e-18,,
Excelente atencion ,positivo,,0.984505497633369,,
Todo muy rápido ,positivo,,0.9654568377152688,,
La atención por el personak,positivo,,0.4840661642303735,,
Velocidad de atencion y los servicios,positivo,,0.819836704302385,,
Personal....excelente atención ,positivo,,0.9999946851574801,,
"La atención clara, rápida, eficiente",positivo,,0.9745347839681309,,
Muy buena atencion,positivo,,0.9877633400857616,,
"Rapida atencion, respetuosos y muy amables",positivo,,0.994062281509342,,
El Doctor Ojeda atiende muy bien y pregunta todo ,positivo,,0.9609564085587808,,
Excelente atención ,positivo,,0.999486216432384,,
La amabilidad y lo expedito ,positivo,,0.9574609528432323,,
Muy buena la atencion,positivo,,0.9935792891585832,,
la buena atencion,positivo,,0.8215302601585989,,
"La dra. atiende en forma excelente, da gusto comentarle que te aqueja y lo profesional que es, una gran profesional, realmente quede feliz con su atención, ",positivo,,0.9765020951152579,,
"La Doctora zally excelente profesional, muy buena su atención se nota que su dedicación es real y completa",positivo,,0.9613647027819145,,
"excelente atención ,muy conforme con su servicio de cada profesional un 7 ",positivo,,0.999824472680938,,
"Los tiempos de espera para que te atienda el doctor, 40 minutos es demasiado, y lo otro que te cobren el estacionamiento, ya que voy a sesiones de Kinesiólogo y no nos debieren cobrar, debe ser liberado como antes, ya que muchos de los que nos atendemos con ustedes tenemos discapacidades",negativo,,3.978751270073287e-14,,
Difícilmente pueden mejorar cuando los doctores no tienen vocación ,negativo,,0.000725222369417864,,
Excelente muy buena la atención gracias ,positivo,,0.999995610648055,,
La amabilidad del personal y lo agradable del lugar,positivo,,0.9998390871446479,,
Servicios de alto precio ,negativo,,0.6113043754874943,,
"Bueno desde que soy paciente de Clinica Alemana hace varios años,siempre destaco al grupo humano y al profesionalismo que ellos tienen, ademas de la buena disposicion para nuestra atencion. Tambien hay que destacar al gran Equipo Medico que nos brinda una excelente Atencion.",positivo,,0.7388739754837518,,
El médico procedió correctamente.Las Enfermeras y teens muy gentiles .,positivo,,0.7122241031859456,,
Buen nivel de profesionales en la atencion,positivo,,0.9595864921802675,,
el tiempo de espera fue el mínimo,positivo,,0.00038170913895600516,,
Excelente a tencion. ,positivo,,0.9633894245446962,,
La atencion y amabilidad,positivo,,0.9670416033896907,,
El tiempo que se tomó el médico que me atendió para explicarme todo con detalle.,positivo,,0.000526782688383234,,
"Responsabilidad para sus pacientes,  el buen servicio que nos brinda, y el buen trato que nos da como persona.",positivo,,0.18782232493722176,,
atención personalizada,positivo,,0.6301234559680013,,
Todo oportuno,positivo,,0.5957399490333923,,
La atención muy rápida y cordial,positivo,,0.9517454619116601,,
La amabilidad del personal y la buena disposición ,positivo,,0.999943568565301,,
Lo expedito y buena orientación,positivo,,0.5571428743208134,,
Todo muy ordenado desde el ingreso,positivo,,0.987106821106963,,
"Puntualidad, eficiencia, amabilidad",positivo,,0.8637372456901127,,
Excelentes profesionales y buena acción de resolutividad,positivo,,0.9746131007564371,,
El ambiente de espera es bastante acogedor. A su vez la especialista fue muy clara y precisa ,positivo,,0.36956092806070895,,
"Al llamar a la secretaria de pediatría plaza bhulere dice que NO hay horas, sin revisar nisiquiera en su sistema, existían alrededor de 4 horas disponible. Al llegar al mesón de atención, la señorita muy amable busco hora.",neutro,,2.6444924879647063e-08,,
